id,type,url,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING
1000,box,,"Carrer dels llacs, 1",GUISSONA,,,41.781,1.278,41° 46' 51'',1° 16' 40'',,,,,,
1001,box,,Crta. Autovia A-2 Km. 545,JORBA,,,41.602,1.541,41° 36' 07'',1° 32' 27'',,,,,,
1002,box,,Av. Urgell s/n,CERVERA,,,41.673,1.2637,41° 40' 22'',1° 15' 49'',,,,,,
1003,box,,"Crta. C-12, cruilla amb Ctra. C-223",FLIX,,,41.2415417,0.5442913,41° 14' 29'',0° 32' 39'',,,,,,
1004,box,,Ctra de Reus a Riudoms Km 2,REUS,,,41.1459523,1.0843609,41° 08' 45'',1° 05' 03'',,,,,,
1005,box,,C/ Indústria S/N,TORREFARRERA,,,41.6634619,0.6035387,41° 39' 48'',0° 36' 12'',,,,,,
1006,box,,"Av. de Bertran i Güell, 17",GAVÀ,,,41.3000232,2.0089452,41° 18' 00'',2° 00' 32'',,,,,,
1007,box,,"Pol. Ind. Can Trias, C/Ramon Llull",VILADECAVALLS,,,41.5627186,1.9791105,41° 33' 45'',1° 58' 44'',,,,,,
1008,box,,"Pol. Ind. ""Els Dolors"" C/ Sallent, 50",MANRESA,,,41.7371819,1.841083,41° 44' 13'',1° 50' 27'',,,,,,
1009,box,,Pol. Ind. Colomer C/Lleida,GOLMÉS,,,41.6304801,0.9143858,41° 37' 49'',0° 54' 51'',,,,,,
1010,box,,"Av. de Barcelona, 26",TÀRREGA,,,41.6526147,1.1492518,41° 39' 09'',1° 08' 57'',,,,,,
1011,box,,"Av. Madrid, 44",ÒDENA,,,41.577437,1.656985,41° 34' 38'',1° 39' 25'',,,,,,
1012,box,,"Av. Sant Carles de la Ràpita, 226",AMPOSTA,,,40.6988768,0.5791692,40° 41' 55'',0° 34' 45'',,,,,,
1013,box,,"Pol. Ind. Camins Nous. C/ Dels Cerç, 2",MÓRA D'EBRE,,,41.0848906,0.6249078,41° 05' 05'',0° 37' 29'',,,,,,
1014,box,,Pol. Ind. el Segre Parc. 201,LLEIDA,,,41.6156436,0.6493231,41° 36' 56'',0° 38' 57'',,,,,,
1015,box,,"Pol. Ind. Les Tapies II, pacel. 6A",L'HOSPITALET DE L'INFANT,,,41.0070255,0.9110363,41° 00' 25'',0° 54' 39'',,,,,,
1017,box,,"Av de la Generalitat, 10",AGRAMUNT,,,41.7821235,1.1040338,41° 46' 55'',1° 06' 14'',,,,,,
1018,box,,"Pol. Ind. Plans de Jort, C/Lleida, Parcela 4",MONTBLANC,,,41.386742,1.156869,41° 23' 12'',1° 09' 24'',,,,,,
1019,box,,"Crta. BV-20005 Km 4, 7",TORRELLES DE LLOBREGAT,,,41.365718,1.9848545,41° 21' 56'',1° 59' 05'',,,,,,
1020,box,,"C/ De Mataró, 12",VIC,,,41.9395523,2.2491035,41° 56' 22'',2° 14' 56'',,,,,,
1021,box,,"C/ la Pedrosa, 10",MASQUEFA,,,41.4997806,1.818876,41° 29' 59'',1° 49' 07'',,,,,,
1022,box,,"Crta. L800 Km 1,850",ALCARRÀS,,,41.5775456,0.5159481,41° 34' 39'',0° 30' 57'',,,,,,
1023,box,,"Pol. Ind. Sub 7 Bis, Parcela 2",FRAGA,,,41.5251901,0.3653238,41° 31' 30'',0° 21' 55'',,,,,,
