id,type,url,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING
A,BENZINERA,https://www.bonarea.com/benzinera/A,"CR L-313 KM 14,5",GUISSONA,25210,E.S. bonÀrea Guissona A,41.78194,1.27805,41° 46' 54'',1° 16' 40'',1,1,1,1,1,1
G002,BENZINERA,https://www.bonarea.com/benzinera/G002,POL. IND. EL SEGRE PARCELA 201,LLEIDA,25191,E.S. bonÀrea Lleida fabrica G002,41.615747,0.648654,41° 36' 56'',0° 38' 55'',,,,,,
G004,BENZINERA,https://www.bonarea.com/benzinera/G004,Crta. de Vic s/n,MOIA,08180,E.S. bonÀrea Moià G004,41.8082127,2.0979496,41° 48' 29'',2° 05' 52'',,,,,,
G005,BENZINERA,https://www.bonarea.com/benzinera/G005,"CTRA. DE MONTBLANC C-240,KM 69",VERDU,25340,E.S. bonÀrea Verdú G005,41.61,1.13,41° 36' 36'',1° 07' 48'',1,,,,,
G006,BENZINERA,https://www.bonarea.com/benzinera/G006,Crta de Pallargues s/n,LES PALLARGUES,25212,E.S. bonÀrea Pallargues G006,41.759728,1.197853,41° 45' 35'',1° 11' 52'',,,,,,
G010,BENZINERA,https://www.bonarea.com/benzinera/G010,"A VERGE DEL CLAUSTRE,32",GUISSONA,25210,E.S. bonÀrea Closa G010,41.78818,1.28653,41° 47' 17'',1° 17' 11'',,,,,,
G011,BENZINERA,https://www.bonarea.com/benzinera/G011,Crta.de Satago s/n,BUJARALOZ,50177,E.S. bonÀrea Bujaraloz G011,41.47596,-0.15314,41° 28' 33'',-0° 09' 11'',1,1,,,,
G013,BENZINERA,https://www.bonarea.com/benzinera/G013,Cl/PONENT  S/N,PONTS,25740,E.S. bonÀrea Ponts G013,41.90676,1.19335,41° 54' 24'',1° 11' 36'',1,,,,,1
G014,BENZINERA,https://www.bonarea.com/benzinera/G014,Pl.ind. El Segre parc 202,LLEIDA,25191,E.S. bonÀrea Lleida G014,41.615767,0.649495,41° 36' 56'',0° 38' 58'',1,1,,,,1
G015,BENZINERA,https://www.bonarea.com/benzinera/G015,Pol.Ind.Navesma / Avda.Generalitat 10,AGRAMUNT,25310,E.S. bonÀrea Agramunt G015,41.782403,1.104783,41° 46' 56'',1° 06' 17'',1,1,,,,1
G016,BENZINERA,https://www.bonarea.com/benzinera/G016,Pol.Ind.Les Garriges Parcela 24,CALAF,08280,E.S. bonÀrea Calaf G016,41.73321,1.52683,41° 43' 59'',1° 31' 36'',1,1,,,,1
G017,BENZINERA,https://www.bonarea.com/benzinera/G017,"Ctra N240 Km,71","BORGES BLANQUES, LES",25400,E.S. bonÀrea Borges G017,41.53298,0.84249,41° 31' 58'',0° 50' 32'',,1,,,,
G018,BENZINERA,https://www.bonarea.com/benzinera/G018,Pol.Ind.Pont Cremat Parcela 2,ARBUCIES,17401,E.S. bonÀrea Arbúcies G018,41.81048,2.531533,41° 48' 37'',2° 31' 53'',1,,,,,1
G019,BENZINERA,https://www.bonarea.com/benzinera/G019,Carretera LV-3003,TORA,25750,E.S. bonÀrea Torà G019,41.807665,1.403707,41° 48' 27'',1° 24' 13'',1,1,,,,1
G020,BENZINERA,https://www.bonarea.com/benzinera/G020,"Ctra C14 KM 82,6",PALAU DE NOGUERA,25633,E.S. bonÀrea Palau de Noguera G020,42.147299,0.89343,42° 08' 50'',0° 53' 36'',1,1,,,,1
G021,BENZINERA,https://www.bonarea.com/benzinera/G021,"Av Urgell, S/N",CERVERA,25200,E.S. bonÀrea Cervera G021,41.67326,1.263621,41° 40' 23'',1° 15' 49'',1,1,,,,1
G022,BENZINERA,https://www.bonarea.com/benzinera/G022,"POLIGON INDUSTRIAL CAMPLLONG, C/ MISTRAL, 19",BALAGUER,25600,E.S. bonÀrea Balaguer G022,41.775252,0.818789,41° 46' 30'',0° 49' 07'',1,1,,,,
G024,BENZINERA,https://www.bonarea.com/benzinera/G024,"Crta L800 Km 1,85",ALCARRAS,25180,E.S. bonÀrea Alcarràs G024,41.57762,0.51669,41° 34' 39'',0° 31' 00'',1,1,,1,,
G025,BENZINERA,https://www.bonarea.com/benzinera/G025,"Pg Industrial les Eres, Parcela 7","ESPLUGA DE FRANCOLI, L'",43440,E.S. bonÀrea Espluga de Francolí G025,41.40298,1.10438,41° 24' 10'',1° 06' 15'',1,1,,1,,
G026,BENZINERA,https://www.bonarea.com/benzinera/G026,"C/MATARO,CANTONADA SOT DELS PRADALS",VIC,08500,E.S. bonÀrea Vic G026,41.93972,2.24909,41° 56' 22'',2° 14' 56'',1,,,1,,
G027,BENZINERA,https://www.bonarea.com/benzinera/G027,Pol.Ind ELS SALACONS P A1/A4,SORT,25560,E.S. bonÀrea Sort G027,42.409381,1.130549,42° 24' 33'',1° 07' 49'',1,1,,,,1
G028,BENZINERA,https://www.bonarea.com/benzinera/G028,CRTA C-12 CRUILLA C-233,FLIX,43750,E.S. bonÀrea Flix G028,41.23952,0.55105,41° 14' 22'',0° 33' 03'',1,1,,1,,
G029,BENZINERA,https://www.bonarea.com/benzinera/G029,"Pol.Id. Plans de Jort,c/Lleida,parcela 4",MONTBLANC,43400,E.S. bonÀrea Montblanc G029,41.386742,1.156869,41° 23' 12'',1° 09' 24'',1,,,1,,
G030,BENZINERA,https://www.bonarea.com/benzinera/G030,"PG Ind. Els Colomers, C/ Lleida, 35",GOLMES,25241,E.S. bonÀrea Golmés G030,41.63032,0.91403,41° 37' 49'',0° 54' 50'',1,1,,,,
G031,BENZINERA,https://www.bonarea.com/benzinera/G031,"Pg.Ind.Camins Nou,Parc.1",MORA D'EBRE,43740,E.S. bonÀrea Móra d'Ebre G031,41.084624,0.626256,41° 05' 04'',0° 37' 34'',1,1,,1,,
